epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,18750.9,0.46345,0.37518,1.05446,0.9193,0.87708,0.93587,0.80713,0.5555,0.41544,1.07197,0.001585,0.001585,0.001585
70,19023.3,0.45756,0.37323,1.05388,0.89796,0.89798,0.93586,0.80669,0.55711,0.41475,1.07381,0.00146125,0.00146125,0.00146125
71,19295.2,0.37051,0.26815,0.98725,0.904,0.89142,0.93691,0.80716,0.5587,0.415,1.07516,0.0013375,0.0013375,0.0013375
72,19565.5,0.36262,0.25278,0.97799,0.90146,0.88771,0.93479,0.80737,0.55726,0.41423,1.07387,0.00121375,0.00121375,0.00121375
73,19835.2,0.35507,0.24432,0.97573,0.91315,0.8777,0.93485,0.8077,0.55556,0.41366,1.0723,0.00109,0.00109,0.00109
74,20104.9,0.34931,0.23669,0.97136,0.91432,0.87452,0.93442,0.80913,0.55493,0.41358,1.07197,0.00096625,0.00096625,0.00096625
75,20374.7,0.34153,0.23255,0.96687,0.91526,0.87621,0.93511,0.80852,0.5552,0.41306,1.07227,0.0008425,0.0008425,0.0008425
76,20644.4,0.33663,0.22752,0.96145,0.92019,0.87835,0.93549,0.81014,0.55453,0.41283,1.07198,0.00071875,0.00071875,0.00071875
77,20913.8,0.3349,0.2241,0.9596,0.92083,0.87574,0.93536,0.81008,0.55304,0.41162,1.07145,0.000595,0.000595,0.000595
78,21184,0.32956,0.21714,0.95498,0.92391,0.87543,0.93599,0.81022,0.55269,0.4112,1.07133,0.00047125,0.00047125,0.00047125
79,21453.7,0.32717,0.21516,0.95631,0.92197,0.87625,0.93594,0.81034,0.55241,0.41145,1.07153,0.0003475,0.0003475,0.0003475
80,21723.2,0.32451,0.21325,0.9564,0.92099,0.87706,0.93559,0.81002,0.55205,0.41185,1.07158,0.00022375,0.00022375,0.00022375
